seqname	pos	GO:0000151	GO:0000785	GO:0000786	GO:0000788	GO:0000790	GO:0005575	GO:0005576	GO:0005615	GO:0005634	GO:0005654	GO:0005667	GO:0005681	GO:0005694	GO:0005700	GO:0005730	GO:0005737	GO:0005739	GO:0005743	GO:0005759	GO:0005768	GO:0005773	GO:0005777	GO:0005783	GO:0005789	GO:0005794	GO:0005813	GO:0005815	GO:0005819	GO:0005829	GO:0005840	GO:0005856	GO:0005874	GO:0005875	GO:0005886	GO:0005887	GO:0005911	GO:0005912	GO:0005938	GO:0009986	GO:0012505	GO:0015934	GO:0015935	GO:0016020	GO:0016021	GO:0019005	GO:0019866	GO:0022625	GO:0030054	GO:0030424	GO:0030425	GO:0030684	GO:0031012	GO:0031090	GO:0031224	GO:0031226	GO:0031248	GO:0031253	GO:0031256	GO:0031300	GO:0031301	GO:0031410	GO:0031461	GO:0031594	GO:0031966	GO:0031967	GO:0031974	GO:0031975	GO:0031982	GO:0031984	GO:0032589	GO:0032991	GO:0032993	GO:0033267	GO:0034702	GO:0034703	GO:0034708	GO:0035770	GO:0036464	GO:0042579	GO:0042995	GO:0043005	GO:0043025	GO:0043195	GO:0043226	GO:0043227	GO:0043228	GO:0043229	GO:0043231	GO:0043232	GO:0043233	GO:0043235	GO:0044297	GO:0044391	GO:0044421	GO:0044422	GO:0044424	GO:0044425	GO:0044427	GO:0044428	GO:0044429	GO:0044430	GO:0044431	GO:0044432	GO:0044433	GO:0044437	GO:0044440	GO:0044444	GO:0044445	GO:0044446	GO:0044448	GO:0044451	GO:0044454	GO:0044455	GO:0044456	GO:0044459	GO:0044463	GO:0044464	GO:0044798	GO:0044815	GO:0045202	GO:0048471	GO:0061695	GO:0070013	GO:0070161	GO:0071011	GO:0071013	GO:0090575	GO:0097458	GO:0097708	GO:0098588	GO:0098590	GO:0098687	GO:0098791	GO:0098793	GO:0098796	GO:0098797	GO:0098798	GO:0098800	GO:0098802	GO:0098803	GO:0098805	GO:0099080	GO:0099081	GO:0099503	GO:0099512	GO:0099513	GO:0099568	GO:0120025	GO:0120038	GO:1902493	GO:1902494	GO:1902495	GO:1905368	GO:1990204	GO:1990234	GO:1990351	GO:1990904
2L	0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.02666666666666667	0.04288288288288288	0.00019715906720250411	0.0	0.0	0.004	0.0	0.0	0.4819053200196338	0.0	0.0	0.0	0.5045851651072237	0.0033333333333333327	0.0	0.0033333333333333327	0.0	0.017043207000103554	0.0	0.043333333333333335	0.0017640416497478621	0.5381702568684102	0.0	0.5190665053363007	0.0	0.0	0.6804062182226849	0.0	0.5380774458725587	0.0	0.4819053200196338	0.0	0.0	0.0	0.0	0.6804062182226849	0.7618451525757184	0.0	0.0	0.0	0.5380774458725587	0.0	0.0	0.0	0.4758388451797055	0.0	0.7618451525757184	0.0	0.0	0.0	0.0	0.0	0.0	0.6192027816697551	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.6983872982631857	0.0	0.0	0.005451485657519468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6983872982631857	0.6983872982631857	0.5190665053363007	0.6192027816697551	0.05583071470982555	0.5190665053363007	0.0	0.0	0.0	0.0	0.4758388451797055	0.3956109609206608	0.6192027816697551	0.7618451525757184	0.0	0.00019715906720250411	0.0	0.3956109609206608	0.0	0.0	0.0	0.0	0.0	0.6192027816697551	0.0	0.3956109609206608	0.6192027816697551	0.00019715906720250411	0.0	0.0	0.672590278688922	0.6569942013920418	0.0	0.7513843513359003	0.0	0.0	0.007065814925042785	0.0	0.0	0.0	0.0033333333333333327	0.0	0.0	0.0	0.4934111235568538	0.6192027816697551	0.0	0.6569942013920418	0.0	0.0	0.01	0.0033333333333333327	0.0	0.0	0.0	0.0	0.0033333333333333327	0.0	0.0	0.0	0.44235295235953137	0.0	0.0	0.4819053200196338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2L	5	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.016666666666666666	0.007210884353741497	0.00014954001958345653	0.0	0.0	0.0	0.0	0.0	0.26891648430374804	0.0033333333333333327	0.0	0.0	0.53991953063455	0.0	0.0	0.0	0.0	0.30377015929509266	0.0	0.05	0.001820698873543896	0.37216495403664057	0.0	0.35058585021757066	0.0	0.0	0.31840863077133424	0.0	0.1818591832147356	0.0	0.2526269164147655	0.0	0.0	0.0	0.0	0.38966251151663217	0.3692741694957104	0.0	0.0	0.0	0.1818591832147356	0.0	0.0	0.0	0.1852235029962349	0.0	0.3692741694957104	0.0	0.0	0.0	0.0	0.0	0.0	0.6118606382980606	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.6118606382980606	0.0	0.0	0.0017830550395302304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6747921798258845	0.6747921798258845	0.35058585021757066	0.6747921798258845	0.30377015929509266	0.35058585021757066	0.0	0.0	0.0	0.0	0.1852235029962349	0.20715087150375494	0.7072662609078677	0.3692741694957104	0.0	0.00014954001958345653	0.0	0.20715087150375494	0.0	0.0	0.0	0.0	0.0	0.7072662609078677	0.0	0.20715087150375494	0.4043052720908072	0.00014954001958345653	0.0	0.0	0.3327468774470763	0.3619196221965119	0.0	0.8314548030268993	0.0	0.0	0.005010601955084235	0.0	0.0017830550395302304	0.0	0.0	0.0	0.0	0.0	0.17975611699599034	0.6118606382980606	0.0	0.3619196221965119	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5748535073600863	0.0	0.0	0.26891648430374804	0.0	0.0	0.0	0.0017830550395302304	0.0	0.0	0.0	0.0017830550395302304	0.0	0.0
2L	7	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.003968894662602558	0.001067093504068294	8.31255195344971e-06	0.0	0.0	0.0	0.0	0.0	0.010189526721351087	0.01086142037145055	0.0	0.0	0.4024754773350842	0.0	0.0	0.0	0.0	0.4317593181634807	0.0	8.31255195344971e-06	0.0	0.36658287047019184	0.0	0.0	0.0	0.0	0.22830410024791525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2348453168016073	0.32737550873425825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003968894662602558	0.0	0.32737550873425825	0.0	0.0	0.0	0.0	0.0	0.0	0.4024754773350842	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.4906338287109401	0.0	0.0	0.0010329669312978784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4906338287109401	0.4906338287109401	0.0	0.4906338287109401	0.4906338287109401	0.0	0.0	0.0	0.0	0.0	0.003968894662602558	8.31255195344971e-06	0.7803405270447347	0.32737550873425825	0.0	8.31255195344971e-06	0.0	8.31255195344971e-06	0.0	0.0	0.0	0.0	0.0	0.7803405270447347	0.0	8.31255195344971e-06	0.006	8.31255195344971e-06	0.0	0.0	0.2527114969913873	0.26001045712521265	0.0	0.9248209695134284	0.0	0.0	0.008512319303130629	0.0	0.0010329669312978784	0.0	0.0	0.0	0.0	0.0	0.012868328241807895	0.4906338287109401	0.0	0.2348453168016073	0.0	0.0	0.006666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05363018925518925	0.0	0.0	0.0	0.0	0.0	0.0	0.0010329669312978784	0.0	0.0	0.0	0.0010329669312978784	0.0	0.0010329669312978784
2L	9	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0020157567722023533	0.003005078000192325	8.31255195344971e-06	0.0	0.0	0.0	0.0	0.0	0.009481778129216177	0.010385229895260074	0.0	0.0	0.3488061423422905	0.0	0.0	0.0	0.0	0.4835934751581293	0.0	8.31255195344971e-06	0.0	0.37033756579713456	0.0	0.0	0.0	0.0	0.004774220714678623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011237856315007844	0.003431013868962219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020157567722023533	0.0	0.003431013868962219	0.0	0.0	0.0	0.0	0.0	0.0	0.3488061423422905	0.0	0.0	0.0	0.0	0.0	0.0	0.5842010101670009	0.0	0.0	0.0010329669312978784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6072088804579803	0.6072088804579803	0.0033333333333333327	0.6072088804579803	0.6057490005354983	0.0	0.0	0.0	0.0	0.0	0.0020157567722023533	8.31255195344971e-06	0.9262883480582732	0.003431013868962219	0.0	8.31255195344971e-06	0.0	8.31255195344971e-06	0.0	0.0	0.0	0.0	0.0	0.8786195989206579	0.0	8.31255195344971e-06	0.0002564102564102564	8.31255195344971e-06	0.0	0.0	0.0	5.021010999876406e-05	0.0	0.9262883480582732	0.0	0.0	0.003051143104859279	0.0	0.0010329669312978784	0.0	0.0	0.0	0.0	0.0	0.0	0.4915101051155415	0.0	5.021010999876406e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011237856315007844	0.0	0.0	0.056963522588522573	0.0	0.0	0.0	0.0	0.0	0.0	0.0010329669312978784	0.0	0.0	0.0	0.0010329669312978784	0.0	0.0010329669312978784
2L	12	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.017953362701524e-05	0.005135700067877417	0.00028000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.33921569060646417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.259526640726094	0.0	0.0	0.0	0.3155466499018901	0.0	0.0	0.0	0.0	0.26031618399667256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26031618399667256	1.622725493702633e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.017953362701524e-05	0.0	1.622725493702633e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.0	0.0	0.0	0.0011173546085280666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4896531174570681	0.4896531174570681	0.01	0.4896531174570681	0.4896531174570681	0.0	0.0	0.0	0.0	0.0	8.017953362701524e-05	0.00343756914667767	0.8635951312474074	1.622725493702633e-05	0.0	0.00028000000000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8635951312474074	0.0	0.00028000000000000003	0.0	0.00028000000000000003	0.0	0.0	0.0	0.0	0.0	0.9403984434777424	0.0	0.0	0.002605465639041345	0.0	0.0011173546085280666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011173546085280666	0.0	0.0	0.0	0.0011173546085280666	0.0	0.0011173546085280666
2L	13	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.017953362701524e-05	0.006921579697507046	0.000104235813344337	0.0	0.000104235813344337	0.0	0.0	0.0	0.0	0.3698290860513106	0.0	0.0	0.0	0.0	0.0	5.46448087431694e-05	0.0	0.3206321496706032	0.0	0.0	0.0	0.31270246994124506	0.0	0.0	0.0	0.0	0.3162875809688633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3162875809688633	1.8800526414739614e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.017953362701524e-05	0.0	1.8800526414739614e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.0	0.0	0.0	0.002510057010268481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4948440634966195	0.4948440634966195	0.0	0.4948440634966195	0.4948440634966195	0.0	0.0	0.0	0.0	0.0	8.017953362701524e-05	0.000104235813344337	0.8695616568489988	1.8800526414739614e-06	0.0	0.000104235813344337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8695616568489988	0.0	0.000104235813344337	0.0	0.000104235813344337	0.0	0.0	0.0	0.0	0.0	0.943383678792154	0.0	0.0	0.0010661338139975325	0.0	0.002510057010268481	0.0	0.0	0.000104235813344337	0.000104235813344337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002510057010268481	0.0	0.0	0.0	0.002510057010268481	0.0	0.002510057010268481
2L	14	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.855554231726973e-05	0.00862528340121075	0.0010050141704817963	0.0	0.0010050141704817963	0.0	0.0	0.0	0.0	0.4022601174093002	0.0	0.0	0.0	0.0	0.0	5.46448087431694e-05	0.0	0.30582265443064216	0.0	0.0	0.0	0.29517250201651685	0.0	0.0	0.0	0.0	0.3342033040947225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3760705551561481	1.8800526414739614e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.855554231726973e-05	0.0	1.8800526414739614e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.0	0.0	0.0	0.002510057010268481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5895719995250817	0.5895719995250817	0.0	0.5895719995250817	0.5895719995250817	0.0	0.0	0.0	0.0	0.0	8.855554231726973e-05	0.0010050141704817963	0.8707925949962392	1.8800526414739614e-06	0.0	0.0010050141704817963	0.0	0.0	0.0010050141704817963	0.0	0.0	0.0	0.0	0.8707925949962392	0.0	0.0010050141704817963	0.0	0.0010050141704817963	0.0	0.0	0.0	0.0	0.0	0.9480870012087016	0.0	0.0	0.0010473544712745278	0.0	0.002510057010268481	0.0	0.0	0.0010050141704817963	0.0010050141704817963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002510057010268481	0.0	0.0	0.0	0.002510057010268481	0.0	0.002510057010268481
2L	18	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.855554231726973e-05	0.004960782119347715	0.0	0.0	0.2965170780318944	0.0	0.0	0.0	0.0012964589809433707	0.3327492783815194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006807471264367816	0.0	0.0	0.0	0.008310019137741244	0.0	0.0	0.0	0.0	0.2890016633365628	0.0	0.0	0.0	0.0	0.0	0.0	0.0002657004830917874	0.0002657004830917874	0.2890016633365628	0.0001082630313648782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.855554231726973e-05	0.0	0.0001082630313648782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7243947858473e-05	0.0	0.0	0.0	0.2965170780318944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3327492783815194	0.3327492783815194	0.0	0.3327492783815194	0.3327492783815194	0.0	0.0	0.0	0.0	0.0002657004830917874	8.855554231726973e-05	0.3113037984973581	0.7666403707291413	0.0001082630313648782	0.0	0.3113037984973581	0.0	0.0	0.004899537434436063	0.0	0.0	0.0	0.0	0.5359876204608222	0.0	0.3113037984973581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9331877115235462	0.0	0.0	0.001214345534209443	0.0	0.0033333333333333327	0.0	0.0	0.2965170780318944	0.2965170780318944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012964589809433707	0.0	0.0	0.0	0.2965170780318944	0.0	0.0	0.0	0.0033333333333333327	0.0	0.2965170780318944
2L	20	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.855554231726973e-05	0.3911815195675813	0.016834559333795972	0.0	0.1900626677878716	0.0	0.0	0.0	0.0007579102281089036	0.433146766056273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00767776623658078	0.0	0.0	0.0	0.0	0.210251110764768	0.0	0.0	0.0	0.0	0.0	0.0	0.0002657004830917874	0.0002657004830917874	0.35569324694392324	0.0001082630313648782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.855554231726973e-05	0.35569324694392324	0.0001082630313648782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333327	0.0	0.0	3.7243947858473e-05	0.0	0.0	0.0	0.1900626677878716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4675206718213327	0.4675206718213327	0.0	0.4675206718213327	0.4675206718213327	0.0	0.0	0.0	0.0	0.0002657004830917874	8.855554231726973e-05	0.4109478056659439	0.918330010872028	0.0001082630313648782	0.0	0.4109478056659439	0.0033333333333333327	0.0	0.3344043643878741	0.0	0.0	0.0	0.0	0.6628842698227146	0.0	0.4109478056659439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9692523961976705	0.0	0.0	0.001195976390361451	0.0	0.0033333333333333327	0.0	0.0	0.1900626677878716	0.1900626677878716	0.0	0.0	0.0	0.35569324694392324	0.0	0.0	0.0	0.0	0.0	0.0	0.0033333333333333327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1900626677878716	0.0	0.0	0.0	0.0033333333333333327	0.0	0.1900626677878716
2L	27	0.0	0.0	0.0	0.0	0.0	1.0	0.0	8.855554231726973e-05	0.4204554325795274	0.5231894404087669	0.0	0.285191020932777	0.0	0.0	0.0	0.005612106992968549	0.0	0.0	0.0	0.0	0.0	0.0	7.613410025874425e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4464449740985097	0.0	0.2039337513945372	0.0001082630313648782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.855554231726973e-05	0.16786742854671702	0.0001082630313648782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0185716781423876	0.0	0.0	0.0016756501173298387	0.0	0.0	0.0	0.4464449740985097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4522750228752103	0.4522750228752103	0.0	0.4204554325795274	0.4204554325795274	0.0	0.0	0.0	0.0	0.4464449740985097	8.855554231726973e-05	0.7656180507920991	0.97003561572199	0.0001082630313648782	0.0	0.589690188586355	0.4871975519160826	0.0	0.16286147716344015	0.0	0.0	0.0	0.0	0.5014095074922179	0.0	0.7656180507920991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.97003561572199	0.0	0.0	0.003084799496865377	0.0	0.02581693673171836	0.0	0.0	0.285191020932777	0.285191020932777	0.0	0.0	0.0	0.16786742854671702	0.0	0.0	0.0	0.0	0.0	0.0	0.4464449740985097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4464449740985097	0.0	0.0	0.0	0.02581693673171836	0.0	0.4464449740985097
